Composer---Artist Pair,No of tracks they have produced together
Alfred Ellis/James Brown-----James Brown,2
Arnaldo Baptista - Rita Lee-----Os Mutantes,2
"B. Daisley, O. Osbourne & R. Rhoads-----Ozzy Osbourne",2
Barrett Strong/Norman Whitfield-----Marvin Gaye,2
Bill Gould/Jon Hudson/Mike Bordin/Mike Patton/Roddy Bottum-----Faith No More,2
Bill Gould/Mike Bordin/Mike Patton-----Faith No More,2
Bill Gould/Mike Patton-----Faith No More,2
"Billie Joe Armstrong, Mike Dirnt, Tré Cool-----Green Day",2
Billy Duffy/Bob Rock/Ian Astbury-----The Cult,2
Bino/Da Gama/Ras Bernardo-----Cidade Negra,2
Blaze Bayley/Janick Gers-----Iron Maiden,2
Bossi/David Coverdale/Earl Slick-----David Coverdale,2
Bourge/Phillips/Shelley-----Metallica,2
Brian May-----Queen,2
Caetano Veloso-----Marcos Valle,2
Charles Bobbitt/James Brown-----James Brown,2
Chuck Berry-----BackBeat,2
Coverdale/Lord/Paice-----Deep Purple,2
Coverdale-----Lenny Kravitz,2
D. DeLeo/Kretz/Weiland-----Stone Temple Pilots,2
Danzig-----Metallica,2
"Darius ""Take One"" Minwalla/Jon Auer/Ken Stringfellow/Matt Harris-----The Posies",2
"Deacon, John-----Queen",2
Deacon-----Queen,2
Don Van Vliet-----Frank Zappa & Captain Beefheart,2
Duff McKagan/Slash/W. Axl Rose-----Guns N' Roses,2
E. Schrody/R. Medrano-----House Of Pain,2
E.Weiss-----Santana,2
"Edward Van Halen, Alex Van Halen, David Lee Roth-----Van Halen",2
"Edward Van Halen, Alex Van Halen, Michael Anthony,/Edward Van Halen, Alex Van Halen, Michael Anthony, David Lee Roth-----Van Halen",2
Eric Clapton-----Eric Clapton,2
"Gene Simmons, S. Coronel-----Kiss",2
Gil Evans-----Miles Davis,2
Gilberto Gil-----Caetano Veloso,2
"H. Spina, J. Elliott-----Miles Davis",2
Habib Koité-----Habib Koité and Bamada,2
Harris/Paul Di´Anno-----Iron Maiden,2
J B Lenoir/Willie Dixon-----Led Zeppelin,2
J. Carisi-----Miles Davis,2
J. Kay/Jay Kay-----Jamiroquai,2
J.Hetfield/L.Ulrich-----Metallica,2
James Hetfield and Lars Ulrich-----Metallica,2
"James Hetfield, Lars Ulrich & Kirk Hammett-----Metallica",2
"Jay Kay/Kay, Jay-----Jamiroquai",2
Jean Paul Maunick-----Incognito,2
Jim Beard-----Dennis Chambers,2
John Bonham/John Paul Jones/Robert Plant-----Led Zeppelin,2
John Bonham-----Led Zeppelin,2
John Paul Jones-----Led Zeppelin,2
L. Muggerud-----House Of Pain,2
Larry Williams-----BackBeat,2
Marisa Monte/Nando Reis-----Cidade Negra,2
Mick Hucknall and Fritz McIntyre-----Lenny Kravitz,2
Mick Mars/Nikki Sixx/Tommy Lee-----Mötley Crüe,2
"Mike Dint, Billie Joe, Tré Cool-----Green Day",2
"Milton Nascimento, Caetano Veloso-----Milton Nascimento",2
Molaney/Morris/Roberts/Wainwright-----Metallica,2
Nando Reis-----Titãs,2
